"","Estimate","Std. Error","t value","Pr(>|t|)"
"CountryEquatorial Guinea",-0.00305557282509155,0.324580999271361,-0.00941389924841838,0.992489949850084
"CountryEritrea",0.0289774131415793,0.269486383703518,0.107528301591146,0.914381864167081
"CountryEstonia",5.38688938822861,0.536662460859503,10.0377607548721,4.16465124962762e-23
"CountryEswatini",-2.60640508789363,0.357374216924238,-7.29320965100898,4.51528269300589e-13
"CountryEthiopia",-0.0438062527473728,0.273435896311678,-0.160206663932083,0.872736266010412
"CountryFiji",0.349743082495967,0.412596993777953,0.84766270178931,0.396738602354936
"CountryFinland",7.46195399501329,0.497447287399319,15.0004918793,5.13794736842582e-48
"CountryFrance",9.02310925797695,0.491933203744464,18.3421431797965,5.0358659228841e-69
"CountryGabon",-0.0439202981863413,0.353165986275861,-0.124361631337948,0.901042844721447
"CountryGambia",-2.31132292945782,0.261371016636733,-8.8430728058506,2.17242263816638e-18
"CountryGeorgia",3.64862047735724,0.478440601766066,7.62606782093556,3.895301459825e-14
"CountryGermany",7.48779874919593,0.555060639688425,13.4900553449423,1.40285918283411e-39
"CountryGhana",-1.09362945288275,0.300540364276991,-3.63887711227637,0.000281556684975173
"CountryGreece",7.34625567184726,0.450906265420328,16.2922013625142,9.01258992960559e-56
"CountryGrenada",4.16557042999008,0.376568514557669,11.0619190637409,1.45243765877119e-27
"CountryGuatemala",4.27198585633777,0.301777818560286,14.1560631484397,3.26695177744515e-43
